question,option1,option2,option3,option4,correct
Qual a capital do Japão?,Tóquio,Osaka,Nagoya,Quioto,0
Em que continente está localizado o Egito?,Ásia,Europa,África,América,2
Quem pintou a Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Claude Monet,0
Qual o maior oceano do mundo?,Atlântico,Pacífico,Índico,Ártico,1
Qual país é famoso pelo carnaval e futebol?,Brasil,Argentina,México,Portugal,0
Quantos planetas existem no sistema solar?,8,7,9,6,0
Qual o idioma oficial da Alemanha?,Inglês,Francês,Alemão,Italiano,2
Em que ano o homem pisou na Lua pela primeira vez?,1969,1959,1979,1989,0
Quem descobriu a gravidade?,Isaac Newton,Albert Einstein,Galileu Galilei,Stephen Hawking,0
Qual é o menor país do mundo?,Mônaco,Malta,Vaticano,San Marino,2
Qual a capital do Japão?,Tóquio,Osaka,Nagoya,Quioto,0
Em que continente está localizado o Egito?,Ásia,Europa,África,América,2
Quem pintou a Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Claude Monet,0
Qual o maior oceano do mundo?,Atlântico,Pacífico,Índico,Ártico,1
Qual país é famoso pelo carnaval e futebol?,Brasil,Argentina,México,Portugal,0
Quantos planetas existem no sistema solar?,8,7,9,6,0
Qual o idioma oficial da Alemanha?,Inglês,Francês,Alemão,Italiano,2
Em que ano o homem pisou na Lua pela primeira vez?,1969,1959,1979,1989,0
Quem descobriu a gravidade?,Isaac Newton,Albert Einstein,Galileu Galilei,Stephen Hawking,0
Qual é o menor país do mundo?,Mônaco,Malta,Vaticano,San Marino,2
Qual a capital do Japão?,Tóquio,Osaka,Nagoya,Quioto,0
Em que continente está localizado o Egito?,Ásia,Europa,África,América,2
Quem pintou a Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Claude Monet,0
Qual o maior oceano do mundo?,Atlântico,Pacífico,Índico,Ártico,1
Qual país é famoso pelo carnaval e futebol?,Brasil,Argentina,México,Portugal,0
Quantos planetas existem no sistema solar?,8,7,9,6,0
Qual o idioma oficial da Alemanha?,Inglês,Francês,Alemão,Italiano,2
Em que ano o homem pisou na Lua pela primeira vez?,1969,1959,1979,1989,0
Quem descobriu a gravidade?,Isaac Newton,Albert Einstein,Galileu Galilei,Stephen Hawking,0
Qual é o menor país do mundo?,Mônaco,Malta,Vaticano,San Marino,2
Qual a capital do Japão?,Tóquio,Osaka,Nagoya,Quioto,0
Em que continente está localizado o Egito?,Ásia,Europa,África,América,2
Quem pintou a Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Claude Monet,0
Qual o maior oceano do mundo?,Atlântico,Pacífico,Índico,Ártico,1
Qual país é famoso pelo carnaval e futebol?,Brasil,Argentina,México,Portugal,0
Quantos planetas existem no sistema solar?,8,7,9,6,0
Qual o idioma oficial da Alemanha?,Inglês,Francês,Alemão,Italiano,2
Em que ano o homem pisou na Lua pela primeira vez?,1969,1959,1979,1989,0
Quem descobriu a gravidade?,Isaac Newton,Albert Einstein,Galileu Galilei,Stephen Hawking,0
Qual é o menor país do mundo?,Mônaco,Malta,Vaticano,San Marino,2
Qual a capital do Japão?,Tóquio,Osaka,Nagoya,Quioto,0
Em que continente está localizado o Egito?,Ásia,Europa,África,América,2
Quem pintou a Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Claude Monet,0
Qual o maior oceano do mundo?,Atlântico,Pacífico,Índico,Ártico,1
Qual país é famoso pelo carnaval e futebol?,Brasil,Argentina,México,Portugal,0
Quantos planetas existem no sistema solar?,8,7,9,6,0
Qual o idioma oficial da Alemanha?,Inglês,Francês,Alemão,Italiano,2
Em que ano o homem pisou na Lua pela primeira vez?,1969,1959,1979,1989,0
Quem descobriu a gravidade?,Isaac Newton,Albert Einstein,Galileu Galilei,Stephen Hawking,0
Qual é o menor país do mundo?,Mônaco,Malta,Vaticano,San Marino,2
Qual a capital do Japão?,Tóquio,Osaka,Nagoya,Quioto,0
Em que continente está localizado o Egito?,Ásia,Europa,África,América,2
Quem pintou a Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Claude Monet,0
Qual o maior oceano do mundo?,Atlântico,Pacífico,Índico,Ártico,1
Qual país é famoso pelo carnaval e futebol?,Brasil,Argentina,México,Portugal,0
Quantos planetas existem no sistema solar?,8,7,9,6,0
Qual o idioma oficial da Alemanha?,Inglês,Francês,Alemão,Italiano,2
Em que ano o homem pisou na Lua pela primeira vez?,1969,1959,1979,1989,0
Quem descobriu a gravidade?,Isaac Newton,Albert Einstein,Galileu Galilei,Stephen Hawking,0
Qual é o menor país do mundo?,Mônaco,Malta,Vaticano,San Marino,2
Qual a capital do Japão?,Tóquio,Osaka,Nagoya,Quioto,0
Em que continente está localizado o Egito?,Ásia,Europa,África,América,2
Quem pintou a Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Claude Monet,0
Qual o maior oceano do mundo?,Atlântico,Pacífico,Índico,Ártico,1
Qual país é famoso pelo carnaval e futebol?,Brasil,Argentina,México,Portugal,0
Quantos planetas existem no sistema solar?,8,7,9,6,0
Qual o idioma oficial da Alemanha?,Inglês,Francês,Alemão,Italiano,2
Em que ano o homem pisou na Lua pela primeira vez?,1969,1959,1979,1989,0
Quem descobriu a gravidade?,Isaac Newton,Albert Einstein,Galileu Galilei,Stephen Hawking,0
Qual é o menor país do mundo?,Mônaco,Malta,Vaticano,San Marino,2
Qual a capital do Japão?,Tóquio,Osaka,Nagoya,Quioto,0
Em que continente está localizado o Egito?,Ásia,Europa,África,América,2
Quem pintou a Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Claude Monet,0
Qual o maior oceano do mundo?,Atlântico,Pacífico,Índico,Ártico,1
Qual país é famoso pelo carnaval e futebol?,Brasil,Argentina,México,Portugal,0
Quantos planetas existem no sistema solar?,8,7,9,6,0
Qual o idioma oficial da Alemanha?,Inglês,Francês,Alemão,Italiano,2
Em que ano o homem pisou na Lua pela primeira vez?,1969,1959,1979,1989,0
Quem descobriu a gravidade?,Isaac Newton,Albert Einstein,Galileu Galilei,Stephen Hawking,0
Qual é o menor país do mundo?,Mônaco,Malta,Vaticano,San Marino,2
Qual a capital do Japão?,Tóquio,Osaka,Nagoya,Quioto,0
Em que continente está localizado o Egito?,Ásia,Europa,África,América,2
Quem pintou a Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Claude Monet,0
Qual o maior oceano do mundo?,Atlântico,Pacífico,Índico,Ártico,1
Qual país é famoso pelo carnaval e futebol?,Brasil,Argentina,México,Portugal,0
Quantos planetas existem no sistema solar?,8,7,9,6,0
Qual o idioma oficial da Alemanha?,Inglês,Francês,Alemão,Italiano,2
Em que ano o homem pisou na Lua pela primeira vez?,1969,1959,1979,1989,0
Quem descobriu a gravidade?,Isaac Newton,Albert Einstein,Galileu Galilei,Stephen Hawking,0
Qual é o menor país do mundo?,Mônaco,Malta,Vaticano,San Marino,2
Qual a capital do Japão?,Tóquio,Osaka,Nagoya,Quioto,0
Em que continente está localizado o Egito?,Ásia,Europa,África,América,2
Quem pintou a Mona Lisa?,Leonardo da Vinci,Pablo Picasso,Vincent van Gogh,Claude Monet,0
Qual o maior oceano do mundo?,Atlântico,Pacífico,Índico,Ártico,1
Qual país é famoso pelo carnaval e futebol?,Brasil,Argentina,México,Portugal,0
Quantos planetas existem no sistema solar?,8,7,9,6,0
Qual o idioma oficial da Alemanha?,Inglês,Francês,Alemão,Italiano,2
Em que ano o homem pisou na Lua pela primeira vez?,1969,1959,1979,1989,0
Quem descobriu a gravidade?,Isaac Newton,Albert Einstein,Galileu Galilei,Stephen Hawking,0
Qual é o menor país do mundo?,Mônaco,Malta,Vaticano,San Marino,2
